goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	1000000000	         2.98 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.92 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.92 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.90 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.90 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	30000000	        46.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 2000000	       899 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       897 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       899 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       900 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       895 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       897 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       897 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       893 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       897 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       898 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       896 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       894 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       902 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       902 ns/op	    1064 B/op	      19 allocs/op
Benchmark/10-4         	 2000000	       899 ns/op	    1064 B/op	      19 allocs/op
Benchmark/100-4        	  500000	      4019 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3904 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3903 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3891 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  300000	      3901 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3889 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3887 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3893 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3902 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3883 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3871 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3877 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3889 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3914 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3871 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3873 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3878 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3874 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3876 ns/op	    4856 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3865 ns/op	    4856 B/op	     113 allocs/op
Benchmark/1000-4       	   50000	     34963 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34959 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34954 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34974 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34876 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34825 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34843 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     35010 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     35137 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34775 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     35085 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34936 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     35400 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     35155 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34933 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34858 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34831 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34955 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34856 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     34850 ns/op	   73496 B/op	    1021 allocs/op
Benchmark/10000-4      	    3000	    468903 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    472492 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    470932 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    472445 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    477255 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    473910 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    471250 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    462960 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    466318 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    469341 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    466564 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    469369 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    476194 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    470970 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    464944 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    468697 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    470022 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    468698 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    470292 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/10000-4      	    3000	    471245 ns/op	 1027417 B/op	   10035 allocs/op
Benchmark/100000-4     	      50	  28345532 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27801744 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	     100	  28258470 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27381948 ns/op	19294688 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  29603010 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27165032 ns/op	19294691 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27917826 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  25169863 ns/op	19294692 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27683606 ns/op	19294689 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27651481 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  25631672 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27262187 ns/op	19294691 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  30060675 ns/op	19294691 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  30591808 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	     100	  29246366 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  28161566 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  28055488 ns/op	19294690 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  29041996 ns/op	19294688 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  27993667 ns/op	19294689 B/op	  100059 allocs/op
Benchmark/100000-4     	      50	  28382757 ns/op	19294688 B/op	  100059 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	293.794s
