goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	50000000	        30.4 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.1 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.3 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.1 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.4 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.6 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.2 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.3 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.4 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.3 ns/op	      96 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        30.4 ns/op	      96 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        89.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.7 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.7 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.5 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.4 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.9 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.9 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.5 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.5 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.8 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.5 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.5 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        88.1 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.4 ns/op	     112 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        87.6 ns/op	     112 B/op	       1 allocs/op
Benchmark/10-4         	 2000000	       700 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       703 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       703 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       699 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       707 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       708 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       706 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       706 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       706 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       701 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       703 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       705 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       705 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       701 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       703 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       708 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       701 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       698 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       707 ns/op	     248 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       705 ns/op	     248 B/op	      10 allocs/op
Benchmark/100-4        	  200000	      6732 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6813 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6749 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6736 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6782 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6808 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6806 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6751 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6755 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6760 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6768 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6850 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6800 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6767 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6779 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6778 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6751 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6747 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6777 ns/op	    1688 B/op	     100 allocs/op
Benchmark/100-4        	  200000	      6831 ns/op	    1688 B/op	     100 allocs/op
Benchmark/1000-4       	   20000	     66970 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67132 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67126 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67210 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67047 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67503 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67101 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67290 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67197 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     66945 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67086 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67475 ns/op	   16184 B/op	    1000 allocs/op
Benchmark/1000-4       	   20000	     67177 ns/op	   16184 B/op	    1000 allocs/op
