goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	  200000	      9878 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9452 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9495 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9438 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9450 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9515 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9431 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9505 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9514 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9436 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9456 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9484 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9505 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9510 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9448 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9462 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9453 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9431 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9465 ns/op	   65568 B/op	       2 allocs/op
Benchmark/0-4 	  200000	      9497 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9550 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9501 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9501 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9588 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9452 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9527 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9472 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9490 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9549 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9504 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9563 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9698 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9981 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9626 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9509 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9548 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9505 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9516 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9491 ns/op	   65568 B/op	       2 allocs/op
Benchmark/1-4 	  200000	      9499 ns/op	   65568 B/op	       2 allocs/op
Benchmark/10-4         	  200000	      9743 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9709 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9746 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9748 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9714 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9726 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9743 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9767 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9755 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9768 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9751 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9800 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	     10294 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9764 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9796 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9844 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9750 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9710 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9754 ns/op	   65640 B/op	      11 allocs/op
Benchmark/10-4         	  200000	      9811 ns/op	   65640 B/op	      11 allocs/op
Benchmark/100-4        	  200000	     11684 ns/op	   66360 B/op	     101 allocs/op
Benchmark/100-4        	  200000	     11637 ns/op	   66360 B/op	     101 allocs/op
