goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       123 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       114 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       105 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       119 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       104 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       104 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       104 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/1-4 	20000000	       103 ns/op	     256 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       364 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       358 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       355 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       356 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       337 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       335 ns/op	     328 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       337 ns/op	     328 B/op	      10 allocs/op
