goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	200000000	         7.53 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.21 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.15 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.46 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         8.84 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.54 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.13 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.22 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.48 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.49 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.06 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.09 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.07 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.15 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.42 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.22 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.09 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.18 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.47 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.10 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	30000000	        50.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        48.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        48.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3000000	       528 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       532 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       537 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       538 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       537 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       541 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       526 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       534 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       550 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       550 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       541 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       544 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       548 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       556 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       548 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       536 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       558 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       537 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       520 ns/op	     568 B/op	      14 allocs/op
Benchmark/100-4        	  500000	      3323 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3194 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3261 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3263 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3227 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3242 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3258 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3263 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3231 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3294 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3435 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3265 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3239 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3245 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3243 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3185 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3184 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3194 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3142 ns/op	    4872 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3133 ns/op	    4872 B/op	     107 allocs/op
Benchmark/1000-4       	   50000	     24778 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24557 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24651 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24707 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25356 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24689 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25021 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24809 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24770 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24864 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     26317 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25096 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24938 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25089 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25584 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24512 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24309 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24424 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24564 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	  100000	     24273 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/10000-4      	    3000	    384199 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    395310 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    390893 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    392858 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    3000	    385469 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    394646 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    402140 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    392389 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    398192 ns/op	  905960 B/op	   10019 allocs/op
Benchmark/10000-4      	    5000	    407928 ns/op	  905961 B/op	   10019 allocs/op
Benchmark/10000-4      	    3000	    395724 ns/op	  905960 B/op	   10019 allocs/op
