goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	 3000000	       479 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       467 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       515 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       529 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       481 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       455 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       462 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       458 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       507 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       521 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       471 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       466 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       473 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       473 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       463 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       477 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       470 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       470 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       486 ns/op	    2080 B/op	       2 allocs/op
Benchmark/0-4 	 3000000	       475 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       479 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       507 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       491 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       491 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       505 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       497 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       509 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       515 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       497 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       494 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       472 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       492 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       482 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       491 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       476 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       487 ns/op	    2080 B/op	       2 allocs/op
Benchmark/1-4 	 3000000	       474 ns/op	    2080 B/op	       2 allocs/op
