goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	 5000000	       356 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       352 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       349 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4 	 5000000	       350 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       386 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       368 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       365 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       369 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       370 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       367 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       365 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       365 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       369 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       365 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       365 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       368 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    1184 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       610 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       613 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       611 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       608 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       610 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       613 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       612 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       610 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       612 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       614 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       608 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       612 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       612 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       612 ns/op	    1256 B/op	      13 allocs/op
Benchmark/10-4         	 2000000	       609 ns/op	    1256 B/op	      13 allocs/op
Benchmark/100-4        	  500000	      3596 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3588 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3621 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3590 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3587 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3589 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3599 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3591 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3589 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3593 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3624 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3584 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3592 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3597 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3602 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3590 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3587 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3592 ns/op	    4184 B/op	     109 allocs/op
