goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	50000000	        37.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	20000000	        77.2 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.2 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.6 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.2 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.0 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.8 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.2 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.9 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.1 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.1 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.9 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.4 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        77.5 ns/op	      96 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        76.7 ns/op	      96 B/op	       2 allocs/op
Benchmark/10-4         	 3000000	       573 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       576 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       574 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       573 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       573 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       574 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       574 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       573 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       574 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       575 ns/op	     600 B/op	      20 allocs/op
Benchmark/100-4        	  300000	      5930 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5936 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5968 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5954 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5924 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5965 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      5949 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5934 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      5922 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5933 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5949 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5925 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5941 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      6177 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5961 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5933 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5921 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5910 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5922 ns/op	    5640 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5912 ns/op	    5640 B/op	     200 allocs/op
Benchmark/1000-4       	   30000	     55747 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56422 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55888 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55843 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55552 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55673 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55994 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55698 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55652 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55720 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56317 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56075 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56056 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56295 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56141 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56530 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56095 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55971 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     56046 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     55989 ns/op	   56040 B/op	    2000 allocs/op
Benchmark/10000-4      	    2000	    616922 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    616964 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    619417 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    615766 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    619249 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    622571 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    619569 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    618844 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    619173 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    617331 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    617826 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    617518 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    616568 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    620233 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    618120 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    615652 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    617542 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    620032 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    619582 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    616903 ns/op	  560040 B/op	   20000 allocs/op
Benchmark/100000-4     	     100	  12438795 ns/op	 5600047 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12341300 ns/op	 5600050 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13353624 ns/op	 5600047 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12775331 ns/op	 5600050 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13085760 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13394775 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13243033 ns/op	 5600049 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13741559 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13463869 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13316853 ns/op	 5600047 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12949119 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12773144 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12546544 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12478045 ns/op	 5600047 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12750130 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12810058 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  12693133 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13791460 ns/op	 5600047 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13748192 ns/op	 5600048 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  13481720 ns/op	 5600047 B/op	  200000 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	247.307s
